TestID;Bars;FinishingType;Machine1;SelectedRule;Filmnumber;Description;Shape;LongFace;ShortFace;DifficultArtwork;Transparant
MF100006-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;17;MF100006;T*PS 192 deksel - Degca;Deksel rechthoekig;179,37;179,37;1;0
MF100006-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_VISION2;12;MF100006;T*PS 192 deksel - Degca;Deksel rechthoekig;179,37;179,37;1;1
MF100006-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;19;MF100006;T*PS 192 deksel - Degca;Deksel rechthoekig;179,37;179,37;0;0
MF100006-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_VISION2;12;MF100006;T*PS 192 deksel - Degca;Deksel rechthoekig;179,37;179,37;0;1
MF100020-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF100020;CVL 333ML - 422/1011/1009/1025;Deksel diverse;76;74,64;1;0
MF100020-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF100020;CVL 333ML - 422/1011/1009/1025;Deksel diverse;76;74,64;1;1
MF100020-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF100020;CVL 333ML - 422/1011/1009/1025;Deksel diverse;76;74,64;0;0
MF100020-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF100020;CVL 333ML - 422/1011/1009/1025;Deksel diverse;76;74,64;0;1
MF100021-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;29;MF100021;POT 333ML - 424/1008/1007/1024;Banderole ronde pot;268,2;72,4;1;0
MF100021-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;27;MF100021;POT 333ML - 424/1008/1007/1024;Banderole ronde pot;268,2;72,4;1;1
MF100021-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;31;MF100021;POT 333ML - 424/1008/1007/1024;Banderole ronde pot;268,2;72,4;0;0
MF100021-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;27;MF100021;POT 333ML - 424/1008/1007/1024;Banderole ronde pot;268,2;72,4;0;1
MF100130-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF100130;tool 180;Deksel rond;105;105;1;0
MF100130-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF100130;tool 180;Deksel rond;105;105;1;1
MF100130-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF100130;tool 180;Deksel rond;105;105;0;0
MF100130-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF100130;tool 180;Deksel rond;105;105;0;1
MF100131-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_MERCO;33;MF100131;T40632SLCP (151);Banderole ronde pot;350,48;127,15;1;0
MF100131-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;33;MF100131;T40632SLCP (151);Banderole ronde pot;350,48;127,15;1;1
MF100131-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_MERCO;33;MF100131;T40632SLCP (151);Banderole ronde pot;350,48;127,15;0;0
MF100131-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;33;MF100131;T40632SLCP (151);Banderole ronde pot;350,48;127,15;0;1
MF100231-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;16;MF100231;BOAT tub - Unilever;Vijfzijdig;160,4;124,9;1;0
MF100231-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF100231;BOAT tub - Unilever;Vijfzijdig;160,4;124,9;1;1
MF100231-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;18;MF100231;BOAT tub - Unilever;Vijfzijdig;160,4;124,9;0;0
MF100231-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF100231;BOAT tub - Unilever;Vijfzijdig;160,4;124,9;0;1
MF100313-Difficult artwork-NOT Transparent;1 of 2;Stansen;;;MF100313;LID rond;Deksel rond;170;170;1;0
MF100313-Difficult artwork-Transparent;1 of 2;Stansen;;;MF100313;LID rond;Deksel rond;170;170;1;1
MF100313-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;;;MF100313;LID rond;Deksel rond;170;170;0;0
MF100313-NOT difficult artwork-Transparent;1 of 2;Stansen;;;MF100313;LID rond;Deksel rond;170;170;0;1
MF100314-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF100314;Lid diam 80 mm;Deksel rond;80;80;1;0
MF100314-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF100314;Lid diam 80 mm;Deksel rond;80;80;1;1
MF100314-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF100314;Lid diam 80 mm;Deksel rond;80;80;0;0
MF100314-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF100314;Lid diam 80 mm;Deksel rond;80;80;0;1
